image_id,file,model,num_gt,num_pred,time_sec
3902,Screwdriver (607)_JPEG.rf.Qfhc0DGVdQlCF7TBrfmn.JPEG,OWL-ViT,1,4,0.037718
3902,Screwdriver (607)_JPEG.rf.Qfhc0DGVdQlCF7TBrfmn.JPEG,OWLv2,1,5,0.184912
3902,Screwdriver (607)_JPEG.rf.Qfhc0DGVdQlCF7TBrfmn.JPEG,Grounding DINO,1,35,0.323487
4815,000160_jpg.rf.m5WhIyiKRrKZdYUSQyhV.jpg,YOLO fine-tuned,1,3,0.019544
4815,000160_jpg.rf.m5WhIyiKRrKZdYUSQyhV.jpg,OWL-ViT,1,8,0.036908
4815,000160_jpg.rf.m5WhIyiKRrKZdYUSQyhV.jpg,OWLv2,1,5,0.183958
4815,000160_jpg.rf.m5WhIyiKRrKZdYUSQyhV.jpg,Grounding DINO,1,41,0.259999
607,000477_jpg.rf.v41T8fw0OZ6TGTdYZZIZ.jpg,YOLO fine-tuned,1,3,0.020299
607,000477_jpg.rf.v41T8fw0OZ6TGTdYZZIZ.jpg,OWL-ViT,1,17,0.039406
607,000477_jpg.rf.v41T8fw0OZ6TGTdYZZIZ.jpg,OWLv2,1,30,0.184951
607,000477_jpg.rf.v41T8fw0OZ6TGTdYZZIZ.jpg,Grounding DINO,1,33,0.231928
1847,Wrench (297)_JPEG.rf.PoY9oFfoCdiTIJqOk0vd.JPEG,YOLO fine-tuned,1,2,0.019193
1847,Wrench (297)_JPEG.rf.PoY9oFfoCdiTIJqOk0vd.JPEG,OWL-ViT,1,3,0.036161
1847,Wrench (297)_JPEG.rf.PoY9oFfoCdiTIJqOk0vd.JPEG,OWLv2,1,1,0.186063
1847,Wrench (297)_JPEG.rf.PoY9oFfoCdiTIJqOk0vd.JPEG,Grounding DINO,1,21,0.245264
1235,000026_jpg.rf.QA4MoLLHFqFHVhn7uhT2.jpg,YOLO fine-tuned,1,2,0.018871
1235,000026_jpg.rf.QA4MoLLHFqFHVhn7uhT2.jpg,OWL-ViT,1,1,0.036218
1235,000026_jpg.rf.QA4MoLLHFqFHVhn7uhT2.jpg,OWLv2,1,3,0.186199
1235,000026_jpg.rf.QA4MoLLHFqFHVhn7uhT2.jpg,Grounding DINO,1,15,0.309041
4113,Wrench (74)_JPEG.rf.oS0avo7J7SSe4t2qvQB5.JPEG,YOLO fine-tuned,7,22,0.033116
4113,Wrench (74)_JPEG.rf.oS0avo7J7SSe4t2qvQB5.JPEG,OWL-ViT,7,43,0.036986
4113,Wrench (74)_JPEG.rf.oS0avo7J7SSe4t2qvQB5.JPEG,OWLv2,7,32,0.184651
4113,Wrench (74)_JPEG.rf.oS0avo7J7SSe4t2qvQB5.JPEG,Grounding DINO,7,54,0.291917
4167,000315_jpg.rf.uGx72PMQ1HgOJGbubX2x.jpg,YOLO fine-tuned,1,1,0.017982
4167,000315_jpg.rf.uGx72PMQ1HgOJGbubX2x.jpg,OWL-ViT,1,2,0.039684
4167,000315_jpg.rf.uGx72PMQ1HgOJGbubX2x.jpg,OWLv2,1,1,0.182791
